排名,片名,评分,导演,主演,上映时间,制片国家/地区,类型,电影图
118,蝙蝠侠：黑暗骑士崛起,8.8,程小东Siu-TungChing,张国荣LeslieCheung/王祖贤JoeyW,2012,美国英国,剧情动作科幻犯罪惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,
119,告白,8.7,克里斯托弗·诺兰ChristopherNolan,克里斯蒂安·贝尔Christ,2010,日本,剧情惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,
120,大鱼,8.8,中岛哲也TetsuyaNakashima,松隆子TakakoMatsu/冈田将生,2003,美国,剧情家庭奇幻冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,
121,阳光姐妹淘,8.8,蒂姆·波顿TimBurton,伊万·麦克格雷格EwanMcGregor/阿,2011,韩国,剧情喜剧,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,
122,甜蜜蜜,8.8,姜炯哲Hyeong-CheolKang,沈恩京Eun-kyungShim/闵孝琳Hy,1996,中国香港,剧情爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg,
123,萤火之森,8.9,陈可辛PeterChan,黎明LeonLai/张曼玉MaggieCheung/,2011,日本,剧情爱情动画奇幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg,
124,射雕英雄传之东成西就,8.7,大森贵弘TakahiroOmori,佐仓绫音AyaneSakura/内山昂辉K,1993,中国香港,喜剧奇幻武侠古装,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609063925.jpg,
125,无人知晓,9.1,刘镇伟JeffreyLau,梁朝伟TonyLeungChiuWai/林青霞Bri,2004,日本,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,
126,驯龙高手,8.7,迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders,,2010,美国,动画奇幻冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,
127,超能陆战队,8.7,唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams,斯科特,2014,美国,喜剧动作科幻动画冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg,
128,幸福终点站,8.8,史蒂文·斯皮尔伯格StevenSpielberg,汤姆·汉克斯TomHanks,2004,美国,喜剧剧情爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg,
129,借东西的小人阿莉埃蒂,8.8,米林宏昌HiromasaYonebayashi,志田未来MiraiShida/神木,2010,日本,动画奇幻冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,
130,菊次郎的夏天,8.8,北野武TakeshiKitano,北野武TakeshiKitano/关口雄介Yus,1999,日本,剧情喜剧,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p751835224.jpg,
